pid,detected,time
2083,a703499c563590dd490118fab41d56a7,17-Jun-2017 12:08:00
2083,None Detected,17-Jun-2017 12:16:01
2083,None Detected,17-Jun-2017 12:24:02
2083,None Detected,17-Jun-2017 12:32:00
2083,c20a56ecff9b80408d887254fce2398f,17-Jun-2017 12:40:00
2083,de53228d48d4882a810f5327f06439c4,17-Jun-2017 12:40:00
2083,a703499c563590dd490118fab41d56a7,17-Jun-2017 12:40:00
2083,240acc7f823dc0a6bb0d03b609072c02,17-Jun-2017 12:40:00
2083,None Detected,17-Jun-2017 12:56:44
2083,None Detected,17-Jun-2017 13:00:00
2083,None Detected,17-Jun-2017 14:16:25
2083,None Detected,17-Jun-2017 14:24:00
2083,None Detected,17-Jun-2017 14:32:02
2083,None Detected,17-Jun-2017 14:40:01
2083,None Detected,17-Jun-2017 14:48:16
2083,None Detected,17-Jun-2017 14:56:00
2083,None Detected,17-Jun-2017 15:00:00
2083,None Detected,17-Jun-2017 15:08:00
2083,None Detected,17-Jun-2017 15:16:00
2083,None Detected,17-Jun-2017 15:24:00
2083,None Detected,17-Jun-2017 15:32:00
2083,None Detected,17-Jun-2017 15:40:01
2083,None Detected,17-Jun-2017 15:48:00
2083,None Detected,17-Jun-2017 15:56:00
2083,None Detected,17-Jun-2017 16:00:00
2083,None Detected,17-Jun-2017 16:08:00
2083,None Detected,17-Jun-2017 16:58:49
2083,None Detected,17-Jun-2017 17:00:47
2083,None Detected,17-Jun-2017 18:32:01
2083,None Detected,17-Jun-2017 18:40:02
2083,None Detected,17-Jun-2017 18:48:01
2083,None Detected,17-Jun-2017 18:56:07
2083,None Detected,17-Jun-2017 19:00:05
2083,78f8ca3c20f13ca308f268a504a8962a,17-Jun-2017 19:08:00
2083,78f8ca3c20f13ca308f268a504a8962a,17-Jun-2017 19:16:00
2083,78f8ca3c20f13ca308f268a504a8962a,17-Jun-2017 19:24:01
2083,78f8ca3c20f13ca308f268a504a8962a,17-Jun-2017 19:32:00
2083,78f8ca3c20f13ca308f268a504a8962a,17-Jun-2017 19:40:03
2083,78f8ca3c20f13ca308f268a504a8962a,17-Jun-2017 19:48:01
2083,78f8ca3c20f13ca308f268a504a8962a,17-Jun-2017 19:56:02
2083,None Detected,17-Jun-2017 20:56:01
2083,None Detected,17-Jun-2017 21:00:01
2083,None Detected,17-Jun-2017 21:33:03
2083,None Detected,17-Jun-2017 21:40:01
2083,None Detected,17-Jun-2017 21:48:02
2083,None Detected,17-Jun-2017 21:56:01
2083,None Detected,17-Jun-2017 22:00:02
2083,None Detected,17-Jun-2017 22:08:03
2083,None Detected,17-Jun-2017 22:16:02
2083,None Detected,17-Jun-2017 22:24:02
2083,None Detected,17-Jun-2017 22:32:00
2083,None Detected,17-Jun-2017 23:24:09
2083,None Detected,18-Jun-2017 00:10:59
2083,None Detected,18-Jun-2017 00:16:02
2083,None Detected,18-Jun-2017 00:24:01
2083,None Detected,18-Jun-2017 00:32:02
2083,None Detected,18-Jun-2017 00:40:02
2083,None Detected,18-Jun-2017 00:48:01
2083,None Detected,18-Jun-2017 00:56:02
2083,None Detected,18-Jun-2017 01:00:03
2083,None Detected,18-Jun-2017 01:08:01
2083,None Detected,18-Jun-2017 01:16:03
2083,None Detected,18-Jun-2017 02:11:25
2083,None Detected,18-Jun-2017 02:16:03
2083,None Detected,18-Jun-2017 04:07:09
2083,None Detected,18-Jun-2017 04:09:20
2083,None Detected,18-Jun-2017 04:16:01
2083,None Detected,18-Jun-2017 08:09:41
2083,None Detected,18-Jun-2017 08:16:16
2083,None Detected,18-Jun-2017 10:01:18
2083,None Detected,18-Jun-2017 10:08:03
2083,None Detected,18-Jun-2017 10:16:03
2083,None Detected,18-Jun-2017 10:24:03
2083,None Detected,18-Jun-2017 10:32:37
2083,None Detected,18-Jun-2017 10:40:01
2083,None Detected,18-Jun-2017 10:48:02
2083,None Detected,18-Jun-2017 10:56:01
2083,None Detected,18-Jun-2017 11:00:01
2083,None Detected,18-Jun-2017 11:08:01
2083,None Detected,18-Jun-2017 11:16:03
2083,None Detected,18-Jun-2017 11:24:01
2083,None Detected,18-Jun-2017 11:32:02
2083,None Detected,18-Jun-2017 11:40:01
2083,None Detected,18-Jun-2017 11:48:02
2083,None Detected,18-Jun-2017 11:56:02
2083,None Detected,18-Jun-2017 12:00:01
2083,None Detected,18-Jun-2017 12:08:00
2083,None Detected,18-Jun-2017 12:16:02
2083,None Detected,18-Jun-2017 12:24:01
2083,None Detected,18-Jun-2017 12:32:02
2083,None Detected,18-Jun-2017 12:40:02
2083,None Detected,18-Jun-2017 12:48:02
2083,None Detected,18-Jun-2017 12:56:02
2083,None Detected,18-Jun-2017 13:00:01
2083,None Detected,18-Jun-2017 13:08:02
2083,None Detected,18-Jun-2017 13:16:02
2083,None Detected,18-Jun-2017 13:24:02
2083,None Detected,18-Jun-2017 13:32:03
2083,None Detected,18-Jun-2017 13:40:01
2083,None Detected,18-Jun-2017 13:48:02
2083,None Detected,18-Jun-2017 13:56:01
2083,None Detected,18-Jun-2017 14:00:08
2083,None Detected,18-Jun-2017 14:08:01
2083,None Detected,18-Jun-2017 14:16:05
2083,None Detected,18-Jun-2017 14:24:03
2083,None Detected,18-Jun-2017 14:32:01
2083,None Detected,18-Jun-2017 14:40:02
2083,None Detected,18-Jun-2017 14:48:02
2083,None Detected,18-Jun-2017 14:56:02
2083,None Detected,18-Jun-2017 15:00:02
2083,None Detected,18-Jun-2017 15:08:03
2083,None Detected,18-Jun-2017 15:16:02
2083,None Detected,18-Jun-2017 15:24:02
2083,None Detected,18-Jun-2017 15:32:02
2083,None Detected,18-Jun-2017 15:40:02
2083,None Detected,18-Jun-2017 15:48:02
2083,None Detected,18-Jun-2017 15:56:01
2083,None Detected,18-Jun-2017 16:00:05
2083,None Detected,18-Jun-2017 16:08:01
2083,None Detected,18-Jun-2017 16:16:01
2083,None Detected,18-Jun-2017 16:24:01
2083,None Detected,18-Jun-2017 16:32:00
2083,None Detected,18-Jun-2017 16:40:02
2083,None Detected,18-Jun-2017 16:48:02
2083,None Detected,18-Jun-2017 16:56:01
2083,None Detected,18-Jun-2017 17:00:02
2083,None Detected,18-Jun-2017 17:08:02
2083,None Detected,18-Jun-2017 17:16:01
2083,None Detected,18-Jun-2017 17:24:02
2083,None Detected,18-Jun-2017 17:32:02
2083,None Detected,18-Jun-2017 17:40:01
2083,None Detected,18-Jun-2017 17:48:01
2083,None Detected,18-Jun-2017 17:56:01
2083,None Detected,18-Jun-2017 18:00:02
2083,None Detected,18-Jun-2017 18:08:01
2083,None Detected,18-Jun-2017 18:25:31
2083,None Detected,18-Jun-2017 18:32:02
2083,None Detected,18-Jun-2017 18:40:02
2083,None Detected,18-Jun-2017 18:48:02
2083,None Detected,18-Jun-2017 18:56:01
2083,None Detected,18-Jun-2017 19:00:02
2083,None Detected,18-Jun-2017 19:08:01
2083,None Detected,18-Jun-2017 19:16:01
2083,None Detected,18-Jun-2017 19:24:01
2083,None Detected,18-Jun-2017 19:40:04
2083,None Detected,18-Jun-2017 19:48:01
2083,None Detected,18-Jun-2017 19:56:02
2083,None Detected,18-Jun-2017 20:00:01
2083,None Detected,18-Jun-2017 20:08:01
2083,None Detected,18-Jun-2017 20:16:01
2083,None Detected,18-Jun-2017 20:24:05
2083,None Detected,18-Jun-2017 20:32:03
2083,None Detected,18-Jun-2017 20:40:01
2083,None Detected,18-Jun-2017 20:48:02
2083,None Detected,18-Jun-2017 20:56:04
2083,None Detected,18-Jun-2017 21:00:01
2083,None Detected,18-Jun-2017 21:08:02
2083,None Detected,18-Jun-2017 21:16:03
2083,None Detected,18-Jun-2017 21:24:01
2083,None Detected,18-Jun-2017 21:32:03
2083,None Detected,18-Jun-2017 21:40:02
2083,None Detected,18-Jun-2017 21:48:02
2083,None Detected,18-Jun-2017 21:56:01
2083,None Detected,18-Jun-2017 22:00:02
2083,None Detected,18-Jun-2017 22:08:01
2083,None Detected,18-Jun-2017 22:16:01
2083,None Detected,18-Jun-2017 22:24:02
2083,None Detected,18-Jun-2017 22:32:02
2083,None Detected,18-Jun-2017 22:40:02
2083,None Detected,18-Jun-2017 22:48:02
2083,None Detected,18-Jun-2017 22:56:03
2083,None Detected,18-Jun-2017 23:00:02
2083,None Detected,18-Jun-2017 23:08:02
2083,None Detected,19-Jun-2017 00:08:02
2083,None Detected,19-Jun-2017 00:16:04
2083,None Detected,19-Jun-2017 02:01:14
2083,None Detected,19-Jun-2017 02:08:02
2083,None Detected,19-Jun-2017 02:16:02
2083,None Detected,19-Jun-2017 06:03:11
2083,None Detected,19-Jun-2017 06:08:02
2083,None Detected,19-Jun-2017 06:16:03
2083,None Detected,19-Jun-2017 06:24:03
2083,None Detected,19-Jun-2017 06:32:03
2083,None Detected,19-Jun-2017 06:40:03
2083,None Detected,19-Jun-2017 06:48:02
2083,None Detected,19-Jun-2017 06:56:03
2083,None Detected,19-Jun-2017 07:00:03
2083,None Detected,19-Jun-2017 07:08:04
2083,None Detected,19-Jun-2017 07:16:02
2083,None Detected,19-Jun-2017 07:24:03
2083,None Detected,19-Jun-2017 07:32:03
2083,None Detected,19-Jun-2017 07:40:03
2083,None Detected,19-Jun-2017 07:48:02
2083,None Detected,19-Jun-2017 07:56:04
2083,None Detected,19-Jun-2017 08:00:03
2083,None Detected,19-Jun-2017 08:08:03
2083,None Detected,19-Jun-2017 08:16:03
2083,None Detected,19-Jun-2017 08:24:04
2083,None Detected,19-Jun-2017 08:32:03
2083,None Detected,19-Jun-2017 08:40:03
2083,None Detected,19-Jun-2017 08:48:01
2083,None Detected,19-Jun-2017 08:56:00
2083,None Detected,19-Jun-2017 09:00:01
2083,None Detected,19-Jun-2017 09:08:02
2083,None Detected,19-Jun-2017 09:16:07
2083,None Detected,19-Jun-2017 09:24:04
2083,None Detected,19-Jun-2017 09:32:00
2083,None Detected,19-Jun-2017 09:40:02
2083,None Detected,19-Jun-2017 09:48:02
2083,None Detected,19-Jun-2017 09:56:02
2083,None Detected,19-Jun-2017 10:00:01
2083,None Detected,19-Jun-2017 10:08:03
2083,None Detected,19-Jun-2017 10:16:01
2083,None Detected,19-Jun-2017 10:24:02
2083,None Detected,19-Jun-2017 10:32:12
2083,None Detected,19-Jun-2017 10:40:12
2083,None Detected,19-Jun-2017 10:48:02
2083,None Detected,19-Jun-2017 10:56:02
2083,None Detected,19-Jun-2017 11:00:02
2083,None Detected,19-Jun-2017 11:27:48
2083,None Detected,19-Jun-2017 11:32:03
2083,None Detected,19-Jun-2017 11:40:01
2083,None Detected,19-Jun-2017 11:48:01
2083,None Detected,19-Jun-2017 11:56:02
2083,None Detected,19-Jun-2017 12:00:03
2083,None Detected,19-Jun-2017 12:08:02
2083,None Detected,19-Jun-2017 12:16:03
2083,None Detected,19-Jun-2017 12:24:02
2083,None Detected,19-Jun-2017 12:40:03
2083,None Detected,19-Jun-2017 12:48:04
2083,None Detected,19-Jun-2017 12:56:02
2083,None Detected,19-Jun-2017 13:00:02
2083,None Detected,19-Jun-2017 13:50:43
2083,None Detected,19-Jun-2017 13:56:03
2083,None Detected,19-Jun-2017 15:09:22
2083,None Detected,19-Jun-2017 15:16:02
2083,None Detected,19-Jun-2017 15:24:03
2083,None Detected,19-Jun-2017 15:32:00
2083,None Detected,19-Jun-2017 15:40:02
2083,None Detected,19-Jun-2017 15:48:02
2083,None Detected,19-Jun-2017 15:56:02
2083,None Detected,19-Jun-2017 16:00:02
2083,None Detected,19-Jun-2017 16:08:02
2083,None Detected,19-Jun-2017 16:16:03
2083,None Detected,19-Jun-2017 16:24:02
2083,None Detected,19-Jun-2017 16:33:00
2083,None Detected,19-Jun-2017 16:40:01
2083,None Detected,19-Jun-2017 16:48:01
2083,None Detected,19-Jun-2017 16:56:02
2083,None Detected,19-Jun-2017 17:00:00
2083,None Detected,19-Jun-2017 17:08:00
2083,None Detected,19-Jun-2017 17:16:02
2083,None Detected,19-Jun-2017 17:24:02
2083,None Detected,19-Jun-2017 17:32:02
2083,None Detected,19-Jun-2017 17:40:01
2083,None Detected,19-Jun-2017 17:48:01
2083,None Detected,19-Jun-2017 17:56:01
2083,None Detected,19-Jun-2017 18:00:02
2083,None Detected,19-Jun-2017 18:08:01
2083,None Detected,19-Jun-2017 18:16:01
2083,None Detected,19-Jun-2017 18:24:00
2083,None Detected,19-Jun-2017 18:32:01
2083,None Detected,19-Jun-2017 18:40:01
2083,None Detected,19-Jun-2017 18:48:01
2083,None Detected,19-Jun-2017 18:56:01
2083,None Detected,19-Jun-2017 19:00:03
2083,None Detected,19-Jun-2017 19:08:01
2083,None Detected,19-Jun-2017 19:16:01
2083,None Detected,19-Jun-2017 19:24:02
2083,None Detected,19-Jun-2017 19:32:02
2083,None Detected,19-Jun-2017 19:40:01
2083,None Detected,19-Jun-2017 19:48:01
2083,None Detected,19-Jun-2017 19:56:01
2083,None Detected,19-Jun-2017 20:00:08
2083,None Detected,19-Jun-2017 20:08:01
2083,None Detected,19-Jun-2017 20:16:02
2083,None Detected,19-Jun-2017 20:24:01
2083,None Detected,19-Jun-2017 20:32:02
2083,None Detected,19-Jun-2017 20:40:02
2083,None Detected,19-Jun-2017 20:48:06
2083,None Detected,19-Jun-2017 20:56:02
2083,None Detected,19-Jun-2017 21:00:02
2083,None Detected,19-Jun-2017 21:08:02
2083,None Detected,19-Jun-2017 21:16:02
2083,None Detected,19-Jun-2017 21:24:02
2083,None Detected,19-Jun-2017 21:32:02
2083,None Detected,19-Jun-2017 21:40:02
2083,None Detected,19-Jun-2017 21:48:01
2083,None Detected,19-Jun-2017 21:56:01
2083,None Detected,19-Jun-2017 22:00:08
2083,None Detected,19-Jun-2017 22:08:02
2083,None Detected,19-Jun-2017 22:16:02
2083,None Detected,19-Jun-2017 22:24:04
2083,None Detected,19-Jun-2017 22:32:02
2083,None Detected,19-Jun-2017 22:40:02
2083,None Detected,19-Jun-2017 23:36:00
2083,None Detected,19-Jun-2017 23:40:01
2083,None Detected,20-Jun-2017 01:26:24
2083,None Detected,20-Jun-2017 01:32:02
2083,None Detected,20-Jun-2017 05:24:05
2083,None Detected,20-Jun-2017 05:32:04
2083,None Detected,20-Jun-2017 06:32:03
2083,None Detected,20-Jun-2017 06:40:04
2083,None Detected,20-Jun-2017 06:48:03
2083,None Detected,20-Jun-2017 06:56:02
2083,None Detected,20-Jun-2017 07:00:10
2083,None Detected,20-Jun-2017 07:08:05
2083,None Detected,20-Jun-2017 07:16:03
2083,None Detected,20-Jun-2017 07:24:03
2083,None Detected,20-Jun-2017 07:32:06
2083,None Detected,20-Jun-2017 07:40:03
2083,None Detected,20-Jun-2017 07:48:03
2083,None Detected,20-Jun-2017 07:56:03
2083,None Detected,20-Jun-2017 08:00:03
2083,None Detected,20-Jun-2017 08:08:01
2083,None Detected,20-Jun-2017 08:16:01
2083,None Detected,20-Jun-2017 08:24:01
2083,None Detected,20-Jun-2017 08:32:00
2083,None Detected,20-Jun-2017 08:40:01
2083,None Detected,20-Jun-2017 08:48:02
2083,None Detected,20-Jun-2017 08:56:02
2083,None Detected,20-Jun-2017 09:00:01
2083,None Detected,20-Jun-2017 09:08:03
2083,None Detected,20-Jun-2017 09:16:01
2083,None Detected,20-Jun-2017 09:24:03
2083,None Detected,20-Jun-2017 09:32:01
2083,None Detected,20-Jun-2017 09:40:01
2083,None Detected,20-Jun-2017 10:36:07
2083,None Detected,20-Jun-2017 10:40:03
2083,None Detected,20-Jun-2017 10:59:46
2083,None Detected,20-Jun-2017 11:02:06
2083,None Detected,20-Jun-2017 11:08:02
2083,None Detected,20-Jun-2017 11:16:02
2083,None Detected,20-Jun-2017 11:24:04
2083,None Detected,20-Jun-2017 11:32:45
2083,None Detected,20-Jun-2017 11:40:02
2083,None Detected,20-Jun-2017 11:48:04
2083,None Detected,20-Jun-2017 11:56:04
2083,None Detected,20-Jun-2017 12:00:09
2083,None Detected,20-Jun-2017 12:08:06
2083,None Detected,20-Jun-2017 13:08:02
2083,None Detected,20-Jun-2017 13:35:30
2083,None Detected,20-Jun-2017 13:40:02
2083,None Detected,20-Jun-2017 13:48:02
2083,None Detected,20-Jun-2017 13:56:03
2083,None Detected,20-Jun-2017 14:00:02
2083,None Detected,20-Jun-2017 14:08:03
2083,None Detected,20-Jun-2017 14:16:02
2083,None Detected,20-Jun-2017 14:24:02
2083,None Detected,20-Jun-2017 14:32:02
2083,None Detected,20-Jun-2017 14:40:04
2083,None Detected,20-Jun-2017 15:40:39
2083,None Detected,20-Jun-2017 15:48:02
2083,None Detected,20-Jun-2017 15:56:00
2083,None Detected,20-Jun-2017 16:00:00
2083,None Detected,20-Jun-2017 16:08:01
2083,None Detected,20-Jun-2017 16:16:00
2083,None Detected,20-Jun-2017 16:24:00
2083,None Detected,20-Jun-2017 16:32:24
2083,None Detected,20-Jun-2017 16:40:03
2083,None Detected,20-Jun-2017 16:48:02
2083,None Detected,20-Jun-2017 16:56:00
2083,c200a74133f3d8aaacfe04ed18d21f3f,20-Jun-2017 17:00:01
2083,None Detected,20-Jun-2017 17:08:00
2083,None Detected,20-Jun-2017 17:16:01
2083,None Detected,20-Jun-2017 17:24:00
2083,None Detected,20-Jun-2017 17:32:02
2083,None Detected,20-Jun-2017 17:40:01
2083,None Detected,20-Jun-2017 17:48:02
2083,None Detected,20-Jun-2017 17:56:02
2083,None Detected,20-Jun-2017 18:00:00
2083,None Detected,20-Jun-2017 18:08:01
2083,None Detected,20-Jun-2017 18:16:02
2083,None Detected,20-Jun-2017 18:24:01
2083,None Detected,20-Jun-2017 18:32:00
2083,None Detected,20-Jun-2017 18:40:01
2083,None Detected,20-Jun-2017 18:48:02
2083,None Detected,20-Jun-2017 18:56:02
2083,None Detected,20-Jun-2017 19:00:03
2083,None Detected,20-Jun-2017 19:08:00
2083,None Detected,20-Jun-2017 19:16:01
2083,None Detected,20-Jun-2017 19:24:01
2083,None Detected,20-Jun-2017 19:32:00
2083,None Detected,20-Jun-2017 19:40:00
2083,None Detected,20-Jun-2017 19:48:00
2083,None Detected,20-Jun-2017 19:56:02
2083,None Detected,20-Jun-2017 20:00:01
2083,None Detected,20-Jun-2017 20:08:01
2083,None Detected,20-Jun-2017 20:16:01
2083,None Detected,20-Jun-2017 20:24:02
2083,None Detected,20-Jun-2017 20:32:02
2083,None Detected,20-Jun-2017 20:40:00
2083,None Detected,20-Jun-2017 20:48:02
2083,None Detected,20-Jun-2017 20:56:02
2083,None Detected,20-Jun-2017 21:00:01
2083,None Detected,20-Jun-2017 21:08:00
2083,None Detected,20-Jun-2017 21:16:02
2083,None Detected,20-Jun-2017 21:24:02
2083,None Detected,20-Jun-2017 21:32:02
2083,None Detected,20-Jun-2017 21:40:02
2083,None Detected,20-Jun-2017 21:48:02
2083,None Detected,20-Jun-2017 21:56:01
2083,None Detected,20-Jun-2017 22:00:07
2083,None Detected,20-Jun-2017 22:08:02
2083,None Detected,20-Jun-2017 22:16:01
2083,None Detected,20-Jun-2017 22:24:03
2083,None Detected,20-Jun-2017 22:32:01
2083,None Detected,20-Jun-2017 22:40:02
2083,None Detected,20-Jun-2017 22:48:01
2083,None Detected,20-Jun-2017 22:56:02
2083,None Detected,20-Jun-2017 23:00:08
2083,None Detected,20-Jun-2017 23:08:03
2083,None Detected,20-Jun-2017 23:16:03
2083,None Detected,20-Jun-2017 23:24:00
2083,None Detected,20-Jun-2017 23:32:01
2083,None Detected,20-Jun-2017 23:40:02
2083,None Detected,21-Jun-2017 00:40:15
2083,None Detected,21-Jun-2017 02:36:26
2083,None Detected,21-Jun-2017 02:40:03
2083,None Detected,21-Jun-2017 06:32:02
2083,None Detected,21-Jun-2017 06:40:03
2083,None Detected,21-Jun-2017 06:48:02
2083,None Detected,21-Jun-2017 06:56:03
2083,None Detected,21-Jun-2017 07:00:03
2083,None Detected,21-Jun-2017 07:08:03
2083,None Detected,21-Jun-2017 07:16:09
2083,None Detected,21-Jun-2017 07:24:02
2083,None Detected,21-Jun-2017 07:32:02
2083,None Detected,21-Jun-2017 07:40:03
2083,None Detected,21-Jun-2017 07:48:03
2083,None Detected,21-Jun-2017 07:56:03
2083,None Detected,21-Jun-2017 08:00:03
2083,None Detected,21-Jun-2017 08:08:58
2083,None Detected,21-Jun-2017 08:16:00
2083,None Detected,21-Jun-2017 08:24:29
2083,None Detected,21-Jun-2017 08:32:34
2083,None Detected,21-Jun-2017 08:40:02
2083,None Detected,21-Jun-2017 08:48:00
2083,None Detected,21-Jun-2017 08:56:02
2083,None Detected,21-Jun-2017 09:00:05
2083,None Detected,21-Jun-2017 09:09:09
2083,None Detected,21-Jun-2017 09:16:01
2083,None Detected,21-Jun-2017 09:24:01
2083,None Detected,21-Jun-2017 09:32:03
2083,None Detected,21-Jun-2017 10:25:26
2083,None Detected,21-Jun-2017 11:08:01
2083,None Detected,21-Jun-2017 11:16:05
2083,None Detected,21-Jun-2017 11:24:03
2083,None Detected,21-Jun-2017 11:32:01
2083,None Detected,21-Jun-2017 11:40:02
2083,None Detected,21-Jun-2017 11:48:02
2083,None Detected,21-Jun-2017 11:56:02
2083,None Detected,21-Jun-2017 12:00:06
2083,None Detected,21-Jun-2017 12:08:02
2083,None Detected,21-Jun-2017 13:00:56
2083,None Detected,21-Jun-2017 13:35:03
2083,None Detected,21-Jun-2017 13:40:02
2083,None Detected,21-Jun-2017 13:48:02
2083,None Detected,21-Jun-2017 13:56:02
2083,None Detected,21-Jun-2017 14:00:03
2083,None Detected,21-Jun-2017 14:08:02
2083,None Detected,21-Jun-2017 14:16:00
2083,None Detected,21-Jun-2017 14:24:00
2083,None Detected,21-Jun-2017 14:32:00
2083,None Detected,21-Jun-2017 14:40:01
2083,None Detected,21-Jun-2017 14:48:03
2083,None Detected,21-Jun-2017 15:40:01
2083,None Detected,21-Jun-2017 15:48:02
2083,None Detected,21-Jun-2017 15:56:03
2083,None Detected,21-Jun-2017 16:00:05
2083,None Detected,21-Jun-2017 16:08:01
2083,None Detected,21-Jun-2017 16:16:01
2083,None Detected,21-Jun-2017 19:48:32
2083,None Detected,21-Jun-2017 19:56:02
2083,None Detected,21-Jun-2017 20:00:02
2083,None Detected,21-Jun-2017 20:20:07
2083,None Detected,21-Jun-2017 20:24:02
2083,None Detected,21-Jun-2017 20:32:02
2083,None Detected,21-Jun-2017 20:40:02
2083,None Detected,21-Jun-2017 20:48:01
2083,None Detected,21-Jun-2017 20:56:00
2083,None Detected,21-Jun-2017 21:00:01
2083,None Detected,21-Jun-2017 21:08:00
2083,None Detected,21-Jun-2017 21:16:00
2083,None Detected,21-Jun-2017 21:40:02
2083,None Detected,21-Jun-2017 21:48:00
2083,None Detected,21-Jun-2017 21:56:00
2083,None Detected,21-Jun-2017 22:00:01
2083,None Detected,21-Jun-2017 22:08:00
2083,None Detected,21-Jun-2017 22:16:02
2083,None Detected,21-Jun-2017 22:24:01
2083,None Detected,21-Jun-2017 22:32:01
2083,None Detected,21-Jun-2017 22:40:00
2083,None Detected,21-Jun-2017 22:48:00
2083,None Detected,21-Jun-2017 22:56:02
2083,None Detected,21-Jun-2017 23:00:00
2083,None Detected,21-Jun-2017 23:08:01
2083,None Detected,21-Jun-2017 23:16:01
2083,None Detected,21-Jun-2017 23:24:37
2083,None Detected,21-Jun-2017 23:32:02
2083,None Detected,21-Jun-2017 23:40:02
2083,None Detected,21-Jun-2017 23:48:01
2083,None Detected,21-Jun-2017 23:56:02
2083,None Detected,22-Jun-2017 00:00:03
2083,None Detected,22-Jun-2017 00:08:01
2083,None Detected,22-Jun-2017 00:16:02
2083,None Detected,22-Jun-2017 00:24:01
2083,None Detected,22-Jun-2017 00:32:03
2083,None Detected,22-Jun-2017 00:40:00
2083,None Detected,22-Jun-2017 00:48:02
2083,None Detected,22-Jun-2017 00:56:01
2083,None Detected,22-Jun-2017 01:00:04
2083,None Detected,22-Jun-2017 01:08:02
2083,None Detected,22-Jun-2017 01:16:00
2083,None Detected,22-Jun-2017 01:24:01
2083,None Detected,22-Jun-2017 01:32:00
2083,None Detected,22-Jun-2017 01:40:01
2083,None Detected,22-Jun-2017 01:48:02
2083,None Detected,22-Jun-2017 01:56:00
2083,None Detected,22-Jun-2017 02:00:00
2083,None Detected,22-Jun-2017 02:08:00
2083,None Detected,22-Jun-2017 02:16:00
2083,None Detected,22-Jun-2017 02:24:00
2083,None Detected,22-Jun-2017 02:32:01
2083,None Detected,22-Jun-2017 02:40:02
2083,None Detected,22-Jun-2017 02:48:01
2083,None Detected,22-Jun-2017 02:56:01
2083,None Detected,22-Jun-2017 03:00:01
2083,None Detected,22-Jun-2017 03:08:02
2083,None Detected,22-Jun-2017 03:16:02
2083,None Detected,22-Jun-2017 03:24:01
2083,None Detected,22-Jun-2017 03:32:06
2083,None Detected,22-Jun-2017 03:40:00
2083,None Detected,22-Jun-2017 03:48:01
2083,None Detected,22-Jun-2017 03:56:02
2083,None Detected,22-Jun-2017 04:00:01
2083,None Detected,22-Jun-2017 04:08:03
2083,None Detected,22-Jun-2017 04:16:00
2083,None Detected,22-Jun-2017 04:24:02
